ds,y,yhat,yhat_lower,yhat_upper
2014-06-12,312,290.3982670254657,215.61043734196227,365.2800773441128
2014-06-13,397,303.70892346586464,226.67251878627977,381.16647034072065
2014-06-14,404,382.4345603157527,310.6562117294858,459.44499702711937
2014-06-15,334,364.1724052618045,291.4341322177594,432.40487274972776
2014-06-16,276,287.32093040407227,207.47092440659733,364.0426591915793
2014-06-17,253,296.87124917095207,218.33310548490246,369.9996129524295
2014-06-18,278,299.3471385410025,228.17124178237916,375.5944608556982
2014-06-19,291,299.5312846978399,226.90895414516223,374.78875196267103
2014-06-20,269,311.2183946191697,232.57869247734317,393.56887957531137
2014-06-21,361,385.537958110079,304.54864006702303,456.4472900493904
2014-06-22,327,365.52971640885664,291.31356242691936,435.78291499019815
2014-06-23,274,286.94289023064783,215.73795953609925,361.60835566203735
2014-06-24,247,294.81871535405173,218.30430549142943,370.42912134761514
2014-06-25,295,295.7308578484345,219.8895919887041,370.50155712437066
2014-06-26,290,294.5101500034106,221.64924968317257,369.9917902231007
2014-06-27,309,304.9962001390671,234.2203509059801,378.45344011953455
2014-06-28,169,328.698246770426,255.02503848739983,400.4359985419011
2014-06-29,199,308.01112102247123,235.3605256643155,378.6448661900881
2014-06-30,170,229.05050256346524,152.51090707269537,307.28577246695494
2014-07-01,176,236.87627099983,166.46110033815486,308.19967529356336
2014-07-02,228,238.0716487020081,164.51313357523387,316.16852203136534
2014-07-03,229,237.46736952633069,159.24641149770892,311.1670213593552
2014-07-04,201,248.89298908124704,174.57002188203694,326.7936880254153
2014-07-05,221,323.498181563713,248.05562166706326,401.0759020533634
2014-07-06,298,304.3271311774216,228.81529859399419,377.9289753600167
2014-07-07,226,227.11711255828087,149.69319076490783,296.5151038738023
2014-07-08,244,236.88083813498483,166.19626201801344,306.91953133997004
2014-07-09,253,240.1471615294921,168.5552344093459,310.43877563169946
2014-07-10,255,241.68658137677426,162.35081855754888,315.0388143297366
2014-07-11,270,255.26408897243198,180.92970327816607,327.4956208713844
2014-07-12,260,331.9621653763196,261.59557893113265,408.72224778995735
2014-07-13,334,314.7569911969217,243.05098659545337,387.67072919590754
